2011-01-01;17;Road-150 Red- 48;Bikes;Road Bikes;27;NULL;NULL;NULL;96606;NULL;NULL;NULL;37989;1;1
2011-01-01;16;Road-150 Red- 44;Bikes;Road Bikes;22;NULL;NULL;NULL;78716;NULL;NULL;NULL;30954;2;2
2011-01-01;20;Road-150 Red- 62;Bikes;Road Bikes;22;NULL;NULL;NULL;78716;NULL;NULL;NULL;30954;2;2
2011-01-01;19;Road-150 Red- 56;Bikes;Road Bikes;17;NULL;NULL;NULL;60826;NULL;NULL;NULL;23919;4;4
2011-01-01;18;Road-150 Red- 52;Bikes;Road Bikes;15;NULL;NULL;NULL;53670;NULL;NULL;NULL;21105;5;5
2011-01-01;9;Mountain-100 Silver- 44;Bikes;Mountain Bikes;6;NULL;NULL;NULL;20400;NULL;NULL;NULL;8928;6;6
2011-01-01;5;Mountain-100 Black- 44;Bikes;Mountain Bikes;6;NULL;NULL;NULL;20250;NULL;NULL;NULL;8862;7;6
2011-01-01;10;Mountain-100 Silver- 48;Bikes;Mountain Bikes;3;NULL;NULL;NULL;10200;NULL;NULL;NULL;4464;8;8
2011-01-01;7;Mountain-100 Silver- 38;Bikes;Mountain Bikes;3;NULL;NULL;NULL;10200;NULL;NULL;NULL;4464;8;8
2011-01-01;6;Mountain-100 Black- 48;Bikes;Mountain Bikes;3;NULL;NULL;NULL;10125;NULL;NULL;NULL;4431;10;8
2011-01-01;3;Mountain-100 Black- 38;Bikes;Mountain Bikes;3;NULL;NULL;NULL;10125;NULL;NULL;NULL;4431;10;8
2011-01-01;39;Road-650 Black- 58;Bikes;Road Bikes;3;NULL;NULL;NULL;2097;NULL;NULL;NULL;636;14;8
2011-01-01;38;Road-650 Black- 52;Bikes;Road Bikes;2;NULL;NULL;NULL;1398;NULL;NULL;NULL;424;15;13
2011-01-01;42;Road-650 Red- 44;Bikes;Road Bikes;2;NULL;NULL;NULL;1398;NULL;NULL;NULL;424;15;13
2011-01-01;36;Road-650 Black- 44;Bikes;Road Bikes;2;NULL;NULL;NULL;1398;NULL;NULL;NULL;424;15;13
2011-01-01;8;Mountain-100 Silver- 42;Bikes;Mountain Bikes;2;NULL;NULL;NULL;6800;NULL;NULL;NULL;2976;12;13
